"yearCombine","Player","Position","Height","Weight","Wingspan","Standing Reach","Lane Agiity","Body Fat %"
2023,"Ryan Rollins","SG",74,179.2,81.75,100.5,11.26,5
2023,"Marcus Sasser","PG",NA,NA,NA,NA,NA,NA
2023,"Dereon Seabron","SG",76.75,182.4,80.75,103.5,11.03,4
2023,"Shaedon Sharpe","SG",76.25,198,83.5,103.5,NA,4.8
2023,"Terquavion Smith","SG",74.25,165.2,78.5,98,10.63,3.8
2023,"Jabari Smith","PF",NA,NA,NA,NA,NA,NA
2023,"Jeremy Sochan","PF",NA,NA,NA,NA,NA,NA
2023,"Matteo Spagnolo","PG",76,196.2,80,102,11.42,8.6
2023,"Julian Strawther","SF",77.75,207.6,81.5,104.5,10.3,7.9
2023,"Dalen Terry","SG",78,195.2,84.75,106,NA,5.4
2023,"Drew Timme","C",80.25,231.6,86,107.5,11.71,15.7
2023,"Jabari Walker","PF",78.75,213.8,82.75,105,11.53,12.1
2023,"TyTy Washington Jr.","SG",74.25,196.4,80,99.5,NA,12
2023,"Peyton Watson","SF",78.75,203.4,84.5,107.5,11.03,5.2
2023,"Blake Wesley","SG",75,187.2,81.25,103,11.55,5.6
2023,"Alondes Williams","SG",75.75,209,79,102,10.96,7.2
2023,"Jaylin Williams","C",80.75,236.6,85,108.5,11.64,8
2023,"Trevion Williams","C",79.25,264.6,86.75,108.5,12.75,10.8
2023,"Bryson Williams","PF",NA,NA,NA,NA,NA,NA
2023,"Mark Williams","C",84,242.4,90.5,117,NA,5.4
2023,"Jalen Williams","SG",76.5,209.2,86.25,105.5,11.13,8.9
2023,"Jalen Wilson","SF",NA,NA,NA,NA,NA,NA
2023,"Fanbo Zeng","SF",NA,NA,NA,NA,NA,NA
