"yearCombine","Player","Position","Height","Weight","Wingspan","Standing Reach","Lane Agiity","Body Fat %"
2013,"Kim English","SG",76.5,192,78.5,98,10.59,4.3
2013,"Festus Ezeli","C",81.75,264.2,89.75,108,12.35,5.5
2013,"Drew Gordon","PF",80,239,83.5,103.5,11.35,9.1
2013,"JaMychal Green","PF",80,217.4,86.25,106.5,10.63,9.8
2013,"Draymond Green","PF",77.75,235.6,85.25,105,11.01,11.3
2013,"Maurice Harkless","SF",79.25,206.6,84,102.5,10.87,5.3
2013,"John Henson","PF",81,216,89,112,NA,8.6
2013,"Tu Holloway","PG",70.5,186.8,77.5,94.5,11,8.5
2013,"Robbie Hummel","SF",79.25,218,80.5,102,11.56,9.4
2013,"Bernard James","PF",80.75,229.8,87,108.5,11.84,5
2013,"John Jenkins","SG",75.25,212,80.5,98,11.36,7.1
2013,"Orlando Johnson","SG",75.75,223.8,83.25,99,10.98,7
2013,"Darius Johnson-Odom","SG",73.5,212,79,96,10.76,7
2013,"Terrence Jones","PF",80.25,252,86.25,107,11.57,7.7
2013,"Kevin Jones","PF",78.25,251.2,85.5,105,11.94,11.2
2013,"Perry Jones","PF",82.25,233.8,85.75,107,11.31,4.6
2013,"Kris Joseph","SG",78,215,83,104,NA,8.6
2013,"Michael Kidd-Gilchrist","SF",77.75,232.8,84,104.5,11.77,7
2013,"Doron Lamb","SG",75.25,199.4,78.75,98.5,11.12,6.7
2013,"Jeremy Lamb","SG",76,179.2,83,102,10.98,4.5
2013,"Meyers Leonard","C",83.75,249.8,87,108,11.34,5.7
2013,"Damian Lillard","PG",73.75,188.8,79.75,95.5,11.15,5.9
2013,"Scott Machado","PG",73,205.8,76,94.5,11.26,5.8
2013,"Kendall Marshall","PG",75.25,198.4,77.5,96,12.03,7.8
2013,"Fab Melo","C",82.75,255,86.5,110,12.14,9.2
2013,"Khris Middleton","SF",78.75,216.2,82.75,103,11.45,7.8
2013,"Darius Miller","SF",78,233.4,81,101,11.34,7.5
2013,"Quincy Miller","SF",80.75,218.7,85.25,105,11.05,7.8
2013,"Tony Mitchell","SG",77.25,216.4,82,100,11.72,5.7
2013,"Arnett Moultrie","PF",81.5,232.8,86.25,106.5,11.32,7.7
2013,"Kevin Murphy","SG",77,194,78.75,99,10.97,5.8
2013,"Andrew Nicholson","PF",80.5,234,88,107,11.89,7.6
2013,"Kyle O'Quinn","PF",80.5,240.8,88.75,106.5,11.65,8
2013,"Miles Plumlee","PF",82.5,252.4,84.75,105.5,10.64,11.4
2013,"Austin Rivers","SG",75.5,202.8,79.25,96.5,11.54,6.2
2013,"Thomas Robinson","PF",79.75,244.2,87.25,106,11.96,5
2013,"Terrence Ross","SG",78,196.6,79.25,100.5,11.78,3.2
2013,"Tomas Satoransky","PG",78.5,200.6,79.25,100,NA,5.2
2013,"Mike Scott","PF",79.25,240.8,82.75,104,11.59,10.6
2013,"Henry Sims","C",82,241.2,88,108,12.33,7.7
2013,"Jared Sullinger","PF",79.75,268.2,85.25,105.5,12.77,10.7
2013,"Tyshawn Taylor","PG",74.75,177,78.25,97.5,11.48,4.2
2013,"Jordan Taylor","PG",73,192.8,75,92.5,10.57,5.5
2013,"Jeff Taylor","SF",78,212.8,78.25,101.5,10.87,4.2
2013,"Marquis Teague","PG",73,179.8,79.25,96.5,10.65,6.3
2013,"Hollis Thompson","SF",78.75,206,81.5,102.5,11.72,6
2013,"Dion Waiters","SG",74.5,221,79.25,98,NA,8.5
2013,"Royce White","PF",79,260.6,84,104.5,NA,10.6
2013,"Tony Wroten","PG",76.75,203.2,81,101,10.75,5.2
2013,"Tyler Zeller","PF",83.25,247.4,84,104.5,11.13,6.4
2014,"Steven Adams","C",82.75,254.5,88.5,109.5,11.85,6.65
2014,"Vander Blue","SG",75.5,197.4,78,100.5,10.4,4.6
2014,"Lorenzo Brown","PG",76,189.2,79,100,11.78,3.95
2014,"Reggie Bullock","SG",77.75,199.8,80.75,102,11.33,6.95
2014,"Trey Burke","PG",71.75,187,77.5,97.5,11.2,6.9
2014,"Kentavious Caldwell-Pope","SG",76.5,203.6,80,100.5,10.6,6.45
2014,"Isaiah Canaan","PG",71,188.4,76.5,94.5,10.98,5.9
2014,"Jackie Carmichael","PF",79.5,241.2,85.5,107,11.83,5.8
2014,"Michael Carter-Williams","PG",76.75,184.4,79.25,101,10.68,4.4
2014,"Will Clyburn","SF",77.75,210.4,84.25,105,11.68,6.85
2014,"Robert Covington","SF",78.25,208.6,85.75,106,11.69,4.7
