Player,Class,Season,School,Conf,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,OWS,DWS,WS,OBPM,DBPM,BPM,Position,Height,Weight,Wingspan,Standing Reach,RSCI_Ranking,Draft_Age
Georges Niang,SR,2016,Iowa State,Big 12,0.596,0.566,4.533,14.987,10.073,20.2,1.287,1.687,14.433,27.787,598.067,3.347,1.353,4.693,5.68,1.5,7.193,PF,78.75,230.8,82,103,71,23.02
Khem Birch,JR,2014,Nevada-Las Vegas,MWC,0.569,0.51,13.9,20.3,17.2,7.6,1.2,10.9,11.6,18.5,404,2.9,2.6,5.5,3.8,4.8,8.6,PF,79.5,208.8,85,107,11,21.74
R.J. Hunter,JR,2015,Georgia State,Sun Belt,0.575,0.508,2.443,13.7,8.257,16.471,3.514,3.486,9.871,28.029,601.714,4.186,2.1,6.286,6.1,1.214,7.314,SG,76.5,185,82.5,104,174,21.67
Malcolm Thomas,SR,2011,San Diego State,MWC,0.567,0.539,11.6,19.6,15.7,14.2,1,7,17.2,20.8,446,3,2.6,5.7,4.1,4.5,8.6,PF,79.5,223,84.5,107.5,171,22.62
Kenneth Faried,SR,2011,Morehead State,OVC,0.619,0.623,20,31.4,25.6,7.4,3.4,8.8,15.8,24.5,588,4.7,3.6,8.3,6.2,2.3,8.5,PF,78,224.6,84,108,171,21.59
Jamaal Franklin,JR,2013,San Diego State,MWC,0.545,0.473,6.5,27.533,16.833,18.033,2.567,2.5,17.3,30.467,536,2.567,2.567,5.133,4.167,3.433,7.6,SG,76,190.8,83.25,103.5,151,21.94
Aaron Harrison,SO,2015,Kentucky,SEC,0.528,0.482,2.033,8.733,5.6,11.267,2.467,0.7,9,22.867,423,2.767,2.3,5.167,3.7,4.167,7.9,SG,76.5,209.2,80.25,100.5,6,20.66
Darius Miller,SR,2012,Kentucky,SEC,0.596,0.568,4.567,9,6.9,13.133,1.8,2,14.6,18.633,388.333,2.933,1.7,4.633,4.567,3.333,7.833,SF,78,233.4,81,101,36,22.27
Bradley Beal,FR,2012,Florida,SEC,0.575,0.525,4.8,20.3,12.3,12.7,2.5,2.6,14.3,23,522,3.6,2.1,5.7,5.4,2.9,8.4,SG,75.25,201.8,80,100,4,19
Allen Crabbe,JR,2013,California,Pac-12,0.569,0.531,3.229,16.5,10.014,14.486,1.571,1.814,12.329,24.6,497.857,3.071,1.771,4.857,5.7,2.243,7.971,SG,77.25,197.4,83.25,103.5,72,21.22
Michael Gbinije,SR,2016,Syracuse,ACC,0.557,0.537,3.586,9.943,6.757,23.343,3.157,1.214,15.271,21.943,484.714,2.686,1.9,4.586,4.114,3.529,7.614,SG,77.5,204.6,79.5,101,29,24.05
Aaron Gordon,FR,2014,Arizona,Pac-12,0.503,0.516,10.4,19.3,14.9,13,1.8,3.4,10.5,23.2,469,2.1,3.3,5.4,3.7,4.7,8.4,PF,79.5,220.1,83.75,105,3,18.78
Andrew Harrison,SO,2015,Kentucky,SEC,0.523,0.436,2.133,8.1,5.3,25.267,2,0.833,17.233,21.333,416.333,2.333,2.133,4.467,2.933,3.467,6.4,PG,76.5,213.2,81,100,4,20.66
Orlando Johnson,SR,2012,UC Santa Barbara,Big West,0.573,0.533,5.9,14.6,10.433,20.733,2.067,2.2,12.6,31.4,588.667,4.1,1.3,5.4,7.067,-0.067,7,SG,75.75,223.8,83.25,99,161,23.3
Jeremy Lamb,SO,2012,Connecticut,Big East,0.582,0.553,3.667,12.2,8.033,10.833,2.033,1.867,11.633,22.7,488,3.6,1.4,5,5.567,2.367,8,SG,76,179.2,83,102,89,20.08
Adreian Payne,SR,2014,Michigan State,Big Ten,0.604,0.563,8.573,22.893,15.94,7.827,1.44,5.1,14.973,24.827,367.267,2.353,1.773,4.087,4.3,2.973,7.273,PF,81,238.5,88,109,21,23.35
C.J. Wilcox,SR,2014,Washington,Pac-12,0.578,0.539,2.973,10.853,6.793,13.253,1.753,2.707,9.907,24.44,487.333,3.347,0.967,4.253,6.66,1.407,8.053,SG,75.5,201,81.75,100.5,148,23.49
Kay Felder,JR,2016,Oakland,Horizon,0.557,0.486,2.186,11.229,6.7,45.543,2.771,0.557,17,28.543,791.143,4.771,1.086,5.829,5.343,0.071,5.414,PG,68.25,177.2,74.5,88.5,261,21.24
Daniel Gafford,SO,2019,Arkansas,SEC,0.633,0.642,11.133,21.667,16.433,6,1.633,9.633,13.533,25.3,442.667,2.7,1.633,4.3,5.133,2.667,7.8,PF,81.25,237.6,86.5,110,36,20.72
Solomon Hill,SR,2013,Arizona,Pac-12,0.585,0.545,7.386,15.957,11.657,16.8,2.029,1.586,17.271,20.971,445,3.029,1.843,4.871,4.786,2.714,7.5,SF,77.5,226,81,103,48,22.28
Chandler Parsons,SR,2011,Florida,SEC,0.551,0.546,7.3,19.3,13.4,21.6,1.7,1.3,18,19.2,440,2.7,2.2,5,5.1,3.2,8.3,SF,80.75,221.2,81.5,104.5,40,22.66
DeAndre Bembry,JR,2016,Saint Joseph's,A-10,0.531,0.506,4.357,17.286,10.9,23.186,2.4,2.457,13.057,25.086,575.714,2.643,2.3,4.9,4.086,2.871,6.986,SG,76.25,206.6,81.25,101,251,21.97
Ben Bentil,SO,2016,Providence,Big East,0.549,0.494,9.833,15.867,12.733,7.233,1.2,2.733,11.5,25.633,515,2.9,1.6,4.5,4.333,1.467,5.8,PF,79.25,229.2,85.5,105,87,21.24
Jake Layman,SR,2016,Maryland,Big Ten,0.603,0.565,4.827,14.607,10.12,8.073,1.92,3.14,14.84,19.42,373.333,2.233,1.88,4.113,4.16,3.02,7.22,SF,80,208.6,81.25,102,65,22.3
Ivan Rabb,SO,2017,California,Pac-12,0.573,0.537,10.867,24.267,17.7,9.467,1.233,3.567,14,22.533,425.333,2.433,2.333,4.767,3.533,3.467,7,PF,80.75,219.6,85.5,109,8,20.38
Pascal Siakam,SO,2016,New Mexico State,WAC,0.584,0.552,13.433,21.667,17.767,11.4,1.7,6.3,11.767,26.467,576,4.1,3.067,7.167,4.933,2.4,7.3,PF,80.25,226.6,87.25,107.5,253,22.38
Steven Adams,FR,2013,Pittsburgh,Big East,0.555,0.571,15.3,21,18,5.4,1.9,11.2,14.4,17.7,228,1.6,1.9,3.5,4,4.2,8.1,C,82.75,254.5,88.5,109.5,5,19.94
Alec Burks,SO,2011,Colorado,Big 12,0.574,0.495,9.2,14.8,12.1,19.6,2,1,12.7,32.3,771,5.6,1,6.6,8,0,8.1,SG,77,192.6,82,103.5,199,19.93
Isaiah Canaan,SR,2013,Murray State,OVC,0.594,0.543,2.329,9.514,5.886,25.414,2.471,0.343,14.9,28.671,592.429,4.357,1.486,5.9,5.6,0.2,5.8,PG,71,188.4,76.5,94.5,199,22.1
Rakeem Christmas,SR,2015,Syracuse,ACC,0.597,0.567,10.2,18.053,14.087,7.593,1.56,9.547,15.06,19.727,353.133,2.267,1.993,4.313,2.573,4.12,6.713,PF,80.25,242.6,89.25,110.5,26,23.56
Josh Okogie,SO,2018,Georgia Tech,ACC,0.55,0.479,6.733,13.233,10.067,14.433,2.733,2.7,13,27.4,463,2.167,1.6,3.767,4.767,2.467,7.3,SG,75,210.8,84,102,222,19.8
Isaiah Thomas,JR,2011,Washington,Pac-10,0.563,0.517,2.5,9.5,6,32.7,2.3,0.2,16.6,26.2,625,4,1.5,5.5,6.2,1.9,8.1,PG,68.75,186,73.75,91.5,104,22.37
Pat Connaughton,SR,2015,Notre Dame,ACC,0.599,0.579,3.98,19.42,12.053,10.447,1.353,2.08,9.807,17.407,397.8,3.16,1.553,4.727,5.653,1.613,7.267,SG,76,215,80,96,136,22.46
Trey Lyles,FR,2015,Kentucky,SEC,0.543,0.496,9.9,16.1,13.3,9.2,1.4,2.1,12.4,20.8,308,2.1,2.3,4.4,3.9,4.1,8,PF,81,241.2,85.5,108,13,19.64
Coby White,FR,2019,North Carolina,ACC,0.556,0.516,1.3,11.3,6.4,24.4,2,1.3,15.5,26.8,538,2.4,1.7,4.1,5.2,2.8,8,PG,75.5,191.4,77,97.5,21,19.34
Tony Bradley,FR,2017,North Carolina,ACC,0.59,0.573,18.6,19,18.8,7.2,1,4.4,9.9,20.7,270,2.1,1,3.1,5.6,2.3,7.9,C,81.25,248.8,89,112.5,30,19.45
Isaiah Roby,JR,2019,Nebraska,Big Ten,0.554,0.519,7.143,17.686,12.443,12.371,2.086,6.643,17.586,19.414,333,1.486,1.8,3.243,2.129,3.986,6.143,PF,79.25,214,85,106,149,21.37
Terrence Ross,SO,2012,Washington,Pac-12,0.557,0.536,4.9,16.9,10.667,9.333,2.133,2.667,10.967,23.933,417.333,2.567,1.5,4.1,4.867,2.633,7.5,SG,78,196.6,79.25,100.5,32,21.39
Hollis Thompson,JR,2012,Georgetown,Big East,0.593,0.577,5.867,16.4,11.4,9.067,1.633,1.767,12.233,20.7,334,2.367,1.567,4.033,4.767,2.267,6.967,SF,78.75,206,81.5,102.5,66,21.24
D.J. Wilson,JR,2017,Michigan,Big Ten,0.628,0.605,6.6,16.5,11.6,8.5,1.1,5.2,11.2,18.3,405,3.2,1.6,4.8,5.4,2.5,7.9,PF,80.75,234.4,87,109.5,159,21.34
Deyonta Davis,FR,2016,Michigan State,Big Ten,0.601,0.598,13.5,19,16.5,7.5,0.8,10.2,12.1,19.3,242,1.7,1.6,3.3,3.4,4.5,7.8,PF,81.25,237.2,86.5,108.5,28,19.56
Kevin Huerter,SO,2018,Maryland,Big Ten,0.611,0.592,3.367,13.933,9.033,19.467,1.367,2.2,16.6,19.967,406,2.533,1.633,4.067,5.233,2.5,7.733,SG,78.25,194,79.5,101.5,63,19.82
Tyler Lydon,SO,2017,Syracuse,ACC,0.601,0.557,7.333,18.3,13,9.733,1.9,5.467,13.467,17.5,413.667,2.9,1.867,4.767,4.333,2.933,7.267,PF,80.25,215,84,107.5,71,21.2
Terence Davis,SR,2019,Mississippi,SEC,0.544,0.515,5,17.729,11.443,20.114,2.686,2.6,15.629,27.371,472.714,1.871,1.371,3.243,4,2.214,6.157,SG,75,192.4,80.75,101,211,22.09
Demetrius Jackson,JR,2016,Notre Dame,ACC,0.577,0.536,3.414,8.186,5.9,20.986,2.157,0.743,14.014,21.314,494.571,3.471,0.786,4.257,4.586,1.043,5.686,PG,72,193.8,77.5,93,28,21.79
Michael Kidd-Gilchrist,FR,2012,Kentucky,SEC,0.57,0.511,10.3,17.3,14,10.8,1.9,2.8,17.3,20.6,497,3.4,2.6,6,4.1,3.6,7.7,SF,77.75,232.8,84,104.5,3,18.75
Terance Mann,SR,2019,Florida State,ACC,0.603,0.573,8.573,13.733,11.187,14.813,1.52,1.087,15.133,17.713,408.333,2.78,1.593,4.373,4.48,2.533,7.02,SG,76.75,204.6,79.75,101,97,22.67
Thomas Bryant,SO,2017,Indiana,Big Ten,0.635,0.604,10.167,17.833,14.233,9.233,1.467,5.167,17.467,22.167,406,2.633,1.367,4,4.3,2.367,6.667,PF,81.5,247.8,90,112.5,22,19.89
Cody Martin,SR,2019,Nevada,MWC,0.585,0.553,4.033,11.933,8.1,25.267,2.333,2.967,15.1,18.3,494.333,3.233,2.233,5.467,3.833,3.4,7.2,PG,76.75,192.2,82.25,102.5,74,23.73
Patrick McCaw,SO,2016,Nevada-Las Vegas,MWC,0.572,0.544,3.367,11.233,7.367,21.267,3.633,1.133,14.967,20.067,424.333,2.2,1.967,4.233,3.333,3,6.333,PG,77.25,180.8,82,100.5,222,20.66
Wesley Iwundu,SR,2017,Kansas State,Big 12,0.552,0.503,4.447,16.613,10.627,22.08,2.007,1.393,19.033,21.067,398.667,1.813,1.607,3.42,3.073,2.747,5.82,SG,77.5,193.4,85,105.5,249,22.51
Julius Randle,FR,2014,Kentucky,SEC,0.567,0.505,13.3,24.7,19.2,10,1,2.6,16.1,25.4,599,3.5,2.4,5.9,5.4,2.1,7.5,PF,79.75,249.7,84,105.5,2,19.57
Kadeem Allen,SR,2017,Arizona,Pac-12,0.563,0.516,1.4,13.333,7.8,20.333,2.867,2.567,19.1,18.433,330.333,1.567,1.9,3.533,2.167,5.033,7.2,PG,73,192.4,81.25,99.5,261,24.43
Brandon Davies,SR,2013,Brigham Young,WCC,0.565,0.524,8.329,22.557,15.2,15.771,2.514,4.043,14.886,28.071,538.429,2.9,2.057,4.957,3.343,2.871,6.214,PF,80.5,241.8,85.5,108.5,199,21.92
Kris Joseph,SR,2012,Syracuse,Big East,0.545,0.498,5.067,12.267,8.8,10.1,2.667,2.233,11.933,22.767,458,2.9,2,4.933,4.333,2.5,6.867,SG,78,215,83,104,59,23.53
Jalen McDaniels,SO,2019,San Diego State,MWC,0.564,0.526,8.367,23,15.833,13.033,2.033,2.1,13.067,25.233,454.667,2.067,2.067,4.167,2.6,2.067,4.667,SF,80.25,191.6,84.25,105.5,159,21.38
Eric Paschall,SR,2019,Villanova,Big East,0.591,0.553,5.8,14.729,10.3,11.457,1.414,1.929,14.914,21.557,476.429,2.914,1.571,4.486,3.486,1.857,5.343,SF,78,254.4,87.75,103.5,136,22.62
Harrison Barnes,SO,2012,North Carolina,ACC,0.525,0.487,7,12.2,9.633,7.967,1.8,1.2,11.033,27.6,555.333,2.9,1.867,4.767,4.667,2.3,6.967,SF,79,227.8,83.25,101.5,1,20.08
Tobias Harris,FR,2011,Tennessee,SEC,0.54,0.489,7.5,20.6,14,10.4,1.4,3.4,11.4,27.2,476,2.9,1.5,4.4,5.5,1.8,7.3,SF,78.5,222.8,83,103.5,6,18.94
Doron Lamb,SO,2012,Kentucky,SEC,0.626,0.585,1.7,7.333,4.7,9.633,1,0.333,10.033,19.833,460.333,4.233,1.467,5.7,4.967,1.9,6.933,SG,75.25,199.4,78.75,98.5,25,20.64
Ray McCallum,JR,2013,Detroit Mercy,Horizon,0.564,0.518,4.043,13.7,8.557,24.971,2.914,1.3,12.771,24.071,582.286,4.129,1.314,5.443,5.314,0.814,6.029,PG,72.25,191.4,75.25,96.5,24,22.04
Jordan Poole,SO,2019,Michigan,Big Ten,0.576,0.54,0.8,10.433,5.733,11.733,2.2,0.9,11.833,22.467,354.333,1.8,2.133,3.933,3.133,4.1,7.233,SG,75.5,190.8,78.75,99.5,89,20
Wayne Selden,JR,2016,Kansas,Big 12,0.546,0.528,3.543,8.314,6.043,16.657,1.343,1.243,15.243,21.586,429.571,2.014,1.457,3.471,3.943,2.171,6.057,SG,76.25,232.4,82.5,101,13,21.73
Peyton Siva,SR,2013,Louisville,Big East,0.509,0.456,1.343,8.971,5.1,34.6,3.971,0.557,23.243,20.314,438.857,1.729,2.714,4.443,1.4,4.314,5.729,PG,71.5,180.6,75,93,31,22.67
Rodney Hood,SO,2014,Duke,ACC,0.59,0.55,2.9,11.7,7.2,13.2,1.3,0.8,10.2,23.8,507,3.6,1.2,4.9,6.3,0.9,7.2,SF,79.25,208.2,80.5,103,27,21.68
Meyers Leonard,SO,2012,Illinois,Big Ten,0.584,0.552,7.6,21.533,14.367,7.7,0.967,6.333,20.2,20.6,293.333,1.867,1.333,3.133,0.233,3.333,3.6,C,83.75,249.8,87,108,29,20.33
Tony Snell,JR,2013,New Mexico,MWC,0.569,0.529,1.814,9.614,5.729,19.486,1.343,1.743,15.614,20.971,348.143,1.957,1.429,3.4,3.914,1.943,5.886,SF,78,198.2,83.5,105.5,151,21.63
Tyshawn Taylor,SR,2012,Kansas,Big 12,0.567,0.532,0.933,7.167,4.167,28.933,2.3,0.7,21.233,24.9,549.333,2.633,1.933,4.567,4.033,2.267,6.3,PG,74.75,177,78.25,97.5,75,22.21
Jamel Artis,SR,2017,Pittsburgh,ACC,0.586,0.548,5.213,13.187,9.24,20.107,0.94,1.02,14.82,25.527,482.733,2.847,0.74,3.6,5.767,0.353,6.12,SG,77.5,213.2,82,105,192,24.44
Anthony Brown,SR,2015,Stanford,Pac-12,0.57,0.529,3.807,16.82,10.36,13.013,1.387,0.567,13.953,20.54,446,2.793,1.607,4.333,4.047,1.72,5.767,SF,77.75,211,83,104.5,60,22.7
Kim English,SR,2012,Missouri,Big 12,0.606,0.578,2.933,12.533,7.767,10.067,2.433,1.033,14.333,20.7,405.333,2.767,1.267,4.033,4.067,1.133,5.2,SG,76.5,192,78.5,98,158,23.76
Tyler Honeycutt,SO,2011,UCLA,Pac-10,0.519,0.483,5.3,17.8,11.9,16.8,1.5,5.5,19.8,22.3,415,1.2,2.1,3.3,3.6,3.5,7.1,SF,78.75,186.8,81,105,34,20.94
Alan Williams,SR,2015,UC Santa Barbara,Big West,0.537,0.483,14.487,29.567,22.153,11.4,2.293,7.66,10.647,32.34,452.133,2.727,1.967,4.693,4.787,1.447,6.22,PF,79.25,261.4,85.75,106.5,187,22.4
Cliff Alexander,FR,2015,Kansas,Big 12,0.598,0.566,13.3,19.9,16.8,5.4,0.6,7.7,14.4,20.1,192,1.3,1,2.3,3.7,3.3,7,PF,79.25,239.2,87.5,109.5,2,19.61
Kevon Looney,FR,2015,UCLA,Pac-12,0.532,0.505,12.2,21,16.6,9.1,2.5,3.3,10.3,19.7,428,2.8,2,4.8,4.7,2.3,7,PF,80,222.4,87.5,110,10,19.38
Phil Pressey,JR,2013,Missouri,SEC,0.504,0.46,2.529,9.3,5.986,35.171,3.629,0.2,22.186,21.371,443.714,2.086,1.471,3.557,3.514,2.157,5.643,PG,69.5,177,74.25,92,52,22.36
Gary Trent,FR,2018,Duke,ACC,0.567,0.528,2.9,10.3,6.8,6.8,1.9,0.4,7.4,19.5,468,3.3,1.8,5.1,4.4,2.6,7,SG,76.25,204.2,80.75,98,18,19.42
Quincy Acy,SR,2012,Baylor,Big 12,0.618,0.566,11.1,19.467,15.367,6.433,1.8,6.167,16.5,19.733,416,3.1,1.967,5.133,3.2,3.067,6.333,PF,78.5,223.8,86.75,106.5,129,21.73
Collin Sexton,FR,2018,Alabama,SEC,0.567,0.498,4.1,9.8,7,27.8,1.6,0.3,14.2,32.9,622,3.2,1.2,4.4,5.8,1.1,6.9,PG,72.5,183,79.25,98.5,7,19.46
Jabari Brown,JR,2014,Missouri,SEC,0.622,0.559,1.7,11.5,7,12.2,1,0.4,12.7,26.1,630,4.6,1.1,5.8,6.5,0.2,6.8,SG,75,201.9,80.25,100,14,21.52
Lorenzo Brown,JR,2013,NC State,ACC,0.513,0.459,2.543,12.343,7.5,34.5,3.2,1.529,21.514,22.229,481.286,2.171,1.357,3.529,3.3,2.171,5.443,PG,76,189.2,79,100,46,22.84
Tyler Dorsey,SO,2017,Oregon,Pac-12,0.596,0.562,4.067,10.133,7.233,11.167,1.5,0.5,12.1,22.7,494,3.233,1.6,4.8,4.767,1.333,6.133,SG,75,182.6,77.25,99.5,24,21.35
Darius Johnson-Odom,SR,2012,Marquette,Big East,0.561,0.523,2.167,9.933,6,17.333,1.6,0.5,12.567,27.233,541,3,1.333,4.433,4.967,1.2,6.167,SG,73.5,212,79,96,161,22.75
Alex Len,SO,2013,Maryland,ACC,0.57,0.535,13.2,21,17.2,7.8,0.5,8,13.1,22.8,434,3,2,5,3.6,3.2,6.8,C,83.5,255,87.5,109.5,187,20.03
Scott Machado,SR,2012,Iona,MAAC,0.57,0.526,3.033,12.9,7.9,42.533,2.4,0.567,22.067,21.3,592.667,3.833,1.467,5.3,4.4,0.633,5.033,PG,73,205.8,76,94.5,161,22.06
Elfrid Payton,JR,2014,Louisiana,Sun Belt,0.536,0.505,5.757,12.971,9.257,32.357,3.586,1.657,19.286,26.214,620,2.829,1.743,4.571,3.257,1.657,4.914,PG,74.5,185.4,80,98.5,187,20.34
Dwight Powell,SR,2014,Stanford,Pac-12,0.531,0.477,7.413,21.06,14.053,16.84,2.167,3.24,17.373,24.947,462,1.82,1.88,3.7,2.26,3.16,5.44,PF,81.5,234.4,84.5,105,34,22.93
Henry Sims,SR,2012,Georgetown,Big East,0.539,0.501,8.4,18.633,13.767,23.6,1.4,5.333,22.1,23.6,322,1.433,1.533,2.967,1.767,3.933,5.633,C,82,241.2,88,108,55,22.26
Trey Thompkins,JR,2011,Georgia,SEC,0.536,0.51,7.3,20.4,14.2,11.1,2.2,5.7,14.2,29.9,433,1.9,2,3.8,3.9,2.9,6.8,PF,80.5,239,85,107.5,26,21.09
Jared Cunningham,JR,2012,Oregon State,Pac-12,0.571,0.5,3.633,9.7,6.567,15.667,4.567,1.1,15.7,25.5,542,3.033,1.467,4.5,3.367,2.2,5.567,SG,75.5,187.6,78.5,98,139,21.1
